StationID,StationName,Date,Tmax,Tmin,Precip
CYBR,BRANDON ARPT,2020-05-01,15.4,7,0
CYBR,BRANDON ARPT,2020-05-02,13.4,-1.2,0
CYBR,BRANDON ARPT,2020-05-03,10.9,-1.1,0
CYBR,BRANDON ARPT,2020-05-04,8.7,-0.7,0
CYBR,BRANDON ARPT,2020-05-05,15.8,0.4,0
CYBR,BRANDON ARPT,2020-05-06,15.1,1.6,0
CYBR,BRANDON ARPT,2020-05-07,10.7,-3.1,0
CYBR,BRANDON ARPT,2020-05-08,9.9,-5.1,0
CYBR,BRANDON ARPT,2020-05-09,8,-1.8,2
CYBR,BRANDON ARPT,2020-05-10,8,-3.5,0
CYBR,BRANDON ARPT,2020-05-11,8.2,-7.3,0
CYBR,BRANDON ARPT,2020-05-12,11.7,-7.4,0
CYBR,BRANDON ARPT,2020-05-13,7.8,2.3,1.2
CYBR,BRANDON ARPT,2020-05-14,15.6,2.9,3.1
CYBR,BRANDON ARPT,2020-05-15,14.5,0,0
CYBR,BRANDON ARPT,2020-05-16,20.9,2.8,0
CYBR,BRANDON ARPT,2020-05-17,24.4,4,0
CYBR,BRANDON ARPT,2020-05-18,23.5,10.9,0
CYBR,BRANDON ARPT,2020-05-19,25.8,12.3,0
CYBR,BRANDON ARPT,2020-05-20,24.6,10.8,0
CYBR,BRANDON ARPT,2020-05-21,24.2,12.7,0
CYBR,BRANDON ARPT,2020-05-22,28.4,7.4,0
CYBR,BRANDON ARPT,2020-05-23,26.6,12.4,0
CYBR,BRANDON ARPT,2020-05-24,16.4,10.9,1.9
CYBR,BRANDON ARPT,2020-05-25,20.2,8.8,0
CYBR,BRANDON ARPT,2020-05-26,23.5,10.7,0
CYBR,BRANDON ARPT,2020-05-27,22.6,11.6,0
CYBR,BRANDON ARPT,2020-05-28,13,5.6,0
CYBR,BRANDON ARPT,2020-05-29,15.8,3.4,0
CYBR,BRANDON ARPT,2020-05-30,21,-0.3,0
CYBR,BRANDON ARPT,2020-05-31,25.8,6.8,0
CYBR,BRANDON ARPT,2020-06-01,29.2,13.4,0
CYBR,BRANDON ARPT,2020-06-02,28.3,9.1,0
CYBR,BRANDON ARPT,2020-06-03,29.2,6.3,0
CYBR,BRANDON ARPT,2020-06-04,24.3,6.1,0
CYBR,BRANDON ARPT,2020-06-05,21.8,6.5,0
CYBR,BRANDON ARPT,2020-06-06,11.8,5.9,12.2
CYBR,BRANDON ARPT,2020-06-07,28.6,10.3,3.1
CYBR,BRANDON ARPT,2020-06-08,25.6,13.8,0
CYBR,BRANDON ARPT,2020-06-09,19,11.1,0
CYBR,BRANDON ARPT,2020-06-10,23.2,8,0
CYBR,BRANDON ARPT,2020-06-11,22.9,6.6,0
CYBR,BRANDON ARPT,2020-06-12,19,6.3,0
CYBR,BRANDON ARPT,2020-06-13,25.8,6.7,0
CYBR,BRANDON ARPT,2020-06-14,27.7,15.6,0
CYBR,BRANDON ARPT,2020-06-15,26.9,10.4,0
CYBR,BRANDON ARPT,2020-06-16,27.5,8.3,0
CYBR,BRANDON ARPT,2020-06-17,25.8,14.8,0
CYBR,BRANDON ARPT,2020-06-18,14.8,8.7,0
CYBR,BRANDON ARPT,2020-06-19,20,6.5,0
CYBR,BRANDON ARPT,2020-06-20,20.1,5.8,0
CYBR,BRANDON ARPT,2020-06-21,17.9,9.2,4
CYBR,BRANDON ARPT,2020-06-22,20.3,9.1,0
CYBR,BRANDON ARPT,2020-06-23,25.9,8.2,0
CYBR,BRANDON ARPT,2020-06-24,28.6,10.3,0
CYBR,BRANDON ARPT,2020-06-25,27.1,14.9,6
CYBR,BRANDON ARPT,2020-06-26,28.7,11.8,0
CYBR,BRANDON ARPT,2020-06-27,34.4,13.9,0.6
CYBR,BRANDON ARPT,2020-06-28,30.6,16.5,152.3
CYBR,BRANDON ARPT,2020-06-29,29.3,17.7,0
CYBR,BRANDON ARPT,2020-06-30,28.7,18.1,31.4
CYBR,BRANDON ARPT,2020-07-01,25.5,17.2,0.4
CYBR,BRANDON ARPT,2020-07-02,31.2,15.5,0.2
CYBR,BRANDON ARPT,2020-07-03,29.7,15.7,0
CYBR,BRANDON ARPT,2020-07-04,28.5,18.5,21.3
CYBR,BRANDON ARPT,2020-07-05,27.4,18.3,0.2
CYBR,BRANDON ARPT,2020-07-06,25.4,14.1,0
CYBR,BRANDON ARPT,2020-07-07,28.1,13.8,0
CYBR,BRANDON ARPT,2020-07-08,25.5,16.1,9.3
CYBR,BRANDON ARPT,2020-07-09,23.9,14.5,0
CYBR,BRANDON ARPT,2020-07-10,25.1,13,0
CYBR,BRANDON ARPT,2020-07-11,26.5,14.6,0
CYBR,BRANDON ARPT,2020-07-12,27.2,14.3,0.4
CYBR,BRANDON ARPT,2020-07-13,25.2,12.6,5.3
CYBR,BRANDON ARPT,2020-07-14,23.7,10.9,0
CYBR,BRANDON ARPT,2020-07-15,25.6,14.4,0.6
CYBR,BRANDON ARPT,2020-07-16,26.1,12.1,0
CYBR,BRANDON ARPT,2020-07-17,29.1,13.9,0
CYBR,BRANDON ARPT,2020-07-18,19.5,13.3,5.3
CYBR,BRANDON ARPT,2020-07-19,22.3,12,0
CYBR,BRANDON ARPT,2020-07-20,20.8,13.1,6.9
CYBR,BRANDON ARPT,2020-07-21,22.7,12.4,0
CYBR,BRANDON ARPT,2020-07-22,24.9,13,0
CYBR,BRANDON ARPT,2020-07-23,28.6,15.2,0
CYBR,BRANDON ARPT,2020-07-24,30.5,19.5,4.1
CYBR,BRANDON ARPT,2020-07-25,30.3,13.9,0
CYBR,BRANDON ARPT,2020-07-26,25.5,11.1,0
CYBR,BRANDON ARPT,2020-07-27,26.5,11.8,0
CYBR,BRANDON ARPT,2020-07-28,27.7,11.5,0
CYBR,BRANDON ARPT,2020-07-29,27.9,12.6,0
CYBR,BRANDON ARPT,2020-07-30,29.5,14.6,0
CYBR,BRANDON ARPT,2020-07-31,26,14.3,0
CYBR,BRANDON ARPT,2020-08-01,25.2,11.8,0
CYBR,BRANDON ARPT,2020-08-02,24.1,11.5,0
CYBR,BRANDON ARPT,2020-08-03,24.8,10,0
CYBR,BRANDON ARPT,2020-08-04,24.5,10,0.3
CYBR,BRANDON ARPT,2020-08-05,26.6,11.7,0
CYBR,BRANDON ARPT,2020-08-06,28.4,12.7,0
CYBR,BRANDON ARPT,2020-08-07,29.9,13.7,0
CYBR,BRANDON ARPT,2020-08-08,27.5,10,0
CYBR,BRANDON ARPT,2020-08-09,23.7,12.3,0
CYBR,BRANDON ARPT,2020-08-10,26.9,9.2,0
CYBR,BRANDON ARPT,2020-08-11,26.3,9,0
