StationID,StationName,Date,Tmax,Tmin,Precip
CYQD,THE PAS,2022-05-01,5.7,-0.9,0
CYQD,THE PAS,2022-05-02,5.1,-2.2,0
CYQD,THE PAS,2022-05-03,6.5,-1,1.5
CYQD,THE PAS,2022-05-04,0.9,-1.1,1
CYQD,THE PAS,2022-05-05,15.6,-0.6,0
CYQD,THE PAS,2022-05-06,17.8,7.1,0.8
CYQD,THE PAS,2022-05-07,16.6,5.4,28.8
CYQD,THE PAS,2022-05-08,17.1,7.2,1.2
CYQD,THE PAS,2022-05-09,17.7,5.2,0
CYQD,THE PAS,2022-05-10,14.1,6.5,1.7
CYQD,THE PAS,2022-05-11,17.8,4.9,0
CYQD,THE PAS,2022-05-12,21.6,3.9,0
CYQD,THE PAS,2022-05-13,12.5,2.2,14
CYQD,THE PAS,2022-05-14,3.6,1,4.6
CYQD,THE PAS,2022-05-15,7,0.7,0
CYQD,THE PAS,2022-05-16,11.7,0.7,0
CYQD,THE PAS,2022-05-17,14.6,-1.8,0
CYQD,THE PAS,2022-05-18,15.1,1.5,0
CYQD,THE PAS,2022-05-19,9.5,2.4,0
CYQD,THE PAS,2022-05-20,5.1,0.1,0.2
CYQD,THE PAS,2022-05-21,12.9,0.5,0
CYQD,THE PAS,2022-05-22,19.4,4.1,0
CYQD,THE PAS,2022-05-23,15.3,5,0.4
CYQD,THE PAS,2022-05-24,12.6,1.4,0
CYQD,THE PAS,2022-05-25,23.3,6.1,0
CYQD,THE PAS,2022-05-26,19.6,7.1,0.6
CYQD,THE PAS,2022-05-27,14.4,5.4,0
CYQD,THE PAS,2022-05-28,11.8,5.7,0.4
CYQD,THE PAS,2022-05-29,13.1,8.4,13.2
CYQD,THE PAS,2022-05-30,13.4,6.6,3.1
CYQD,THE PAS,2022-05-31,11.6,5.1,0
CYQD,THE PAS,2022-06-01,7.9,2.9,9.6
CYQD,THE PAS,2022-06-02,8.1,3.3,2.9
CYQD,THE PAS,2022-06-03,11.9,0.9,0
CYQD,THE PAS,2022-06-04,14.7,4,0
CYQD,THE PAS,2022-06-05,15,3,0
CYQD,THE PAS,2022-06-06,20.4,3.2,0
CYQD,THE PAS,2022-06-07,21,4.8,0
CYQD,THE PAS,2022-06-08,21.4,6.8,0
CYQD,THE PAS,2022-06-09,23.1,6.9,0
CYQD,THE PAS,2022-06-10,22.9,10.2,0
CYQD,THE PAS,2022-06-11,19.9,12.3,9.5
CYQD,THE PAS,2022-06-12,24.2,8.4,0
CYQD,THE PAS,2022-06-13,22.1,12.8,0
CYQD,THE PAS,2022-06-14,19.5,12.5,11.8
CYQD,THE PAS,2022-06-15,19.2,10.1,1.7
CYQD,THE PAS,2022-06-16,19.7,9.5,0
CYQD,THE PAS,2022-06-17,18.4,8.8,0
CYQD,THE PAS,2022-06-18,24.2,12.8,0
CYQD,THE PAS,2022-06-19,28.5,12.3,2.2
CYQD,THE PAS,2022-06-20,22.2,14.7,4.8
CYQD,THE PAS,2022-06-21,21.5,12.2,0
CYQD,THE PAS,2022-06-22,24.8,12.8,1.4
CYQD,THE PAS,2022-06-23,18.7,11,0
CYQD,THE PAS,2022-06-24,19.2,11.9,7.5
CYQD,THE PAS,2022-06-25,16,11.8,2.2
CYQD,THE PAS,2022-06-26,24.5,7.1,0.3
CYQD,THE PAS,2022-06-27,18.4,8.1,0.2
CYQD,THE PAS,2022-06-28,21.5,5.6,0
CYQD,THE PAS,2022-06-29,19.6,7.5,1.1
CYQD,THE PAS,2022-06-30,19.1,8.9,0
CYQD,THE PAS,2022-07-01,17.9,7.6,0
CYQD,THE PAS,2022-07-02,22.2,4.8,0
CYQD,THE PAS,2022-07-03,23.5,9.1,0
CYQD,THE PAS,2022-07-04,20.2,11.3,0
CYQD,THE PAS,2022-07-05,22.1,7.3,0
CYQD,THE PAS,2022-07-06,19,9.7,2.8
CYQD,THE PAS,2022-07-07,26.2,9.3,0
CYQD,THE PAS,2022-07-08,24.1,10.7,0
CYQD,THE PAS,2022-07-09,28.9,14.8,0.9
CYQD,THE PAS,2022-07-10,27.4,14,1
CYQD,THE PAS,2022-07-11,25.5,15.3,0
CYQD,THE PAS,2022-07-12,24.9,14.2,0
CYQD,THE PAS,2022-07-13,29.1,15.3,0
CYQD,THE PAS,2022-07-14,27.8,15.7,0
CYQD,THE PAS,2022-07-15,29.9,14.1,0
CYQD,THE PAS,2022-07-16,32.4,13.9,6.8
CYQD,THE PAS,2022-07-17,28,16,0
CYQD,THE PAS,2022-07-18,29.5,13.9,0
CYQD,THE PAS,2022-07-19,29.9,16.5,0
CYQD,THE PAS,2022-07-20,24.8,16.4,7.5
CYQD,THE PAS,2022-07-21,21.7,15.1,0
CYQD,THE PAS,2022-07-22,16.9,13,0
CYQD,THE PAS,2022-07-23,18.9,11.8,0
CYQD,THE PAS,2022-07-24,23.7,9.2,0
CYQD,THE PAS,2022-07-25,23.6,14.8,0.4
CYQD,THE PAS,2022-07-26,20.8,13.2,3.3
CYQD,THE PAS,2022-07-27,20.4,14,0
CYQD,THE PAS,2022-07-28,25.9,14.4,0
CYQD,THE PAS,2022-07-29,30.5,13.5,8.4
CYQD,THE PAS,2022-07-30,18.9,13.6,8.3
CYQD,THE PAS,2022-07-31,22,12.8,0
CYQD,THE PAS,2022-08-01,22.3,11.5,0
CYQD,THE PAS,2022-08-02,16.5,11,23.7
CYQD,THE PAS,2022-08-03,20.9,12.4,0.5
CYQD,THE PAS,2022-08-04,20.4,14.2,2.6
CYQD,THE PAS,2022-08-05,21.2,11.4,8.7
CYQD,THE PAS,2022-08-06,23.1,8.8,0
CYQD,THE PAS,2022-08-07,25.7,12.7,0
CYQD,THE PAS,2022-08-08,26.4,16.1,0.4
CYQD,THE PAS,2022-08-09,21,14.8,0.3
CYQD,THE PAS,2022-08-10,20.9,11.9,0
CYQD,THE PAS,2022-08-11,26.6,10.8,0
CYQD,THE PAS,2022-08-12,21,13.6,2.5
CYQD,THE PAS,2022-08-13,24.4,13.8,0
CYQD,THE PAS,2022-08-14,24.9,15.4,0
CYQD,THE PAS,2022-08-15,25.2,16.7,0
CYQD,THE PAS,2022-08-16,29.9,16,0
CYQD,THE PAS,2022-08-17,25.3,15.6,0.3
CYQD,THE PAS,2022-08-18,26.6,15.7,0
CYQD,THE PAS,2022-08-19,27.1,13,0
CYQD,THE PAS,2022-08-20,29.7,14.5,0
CYQD,THE PAS,2022-08-21,24.6,17.7,0.5
