Municipality,Latitude,Longitude,Shape Area
Alexander,50.44875,-96.062594,1627317933
Alonsa,50.975737,-99.083084,3043397254
Argyle,49.362745,-99.195208,810078174.7
Armstrong,50.678552,-97.447071,1926994104
Bifrost-Riverton,51.065145,-97.171383,1652419473
Boissevain-Morton,49.177449,-100.095639,1167839536
Brenda-Waskada,49.177562,-100.702469,778217212.7
Brokenhead,50.129182,-96.515295,752416261.9
Cartier,49.893238,-97.708674,557258418
Cartwright-Roblin,49.112658,-99.289912,737965236.8
Clanwilliam-Erickson,50.505908,-99.815605,387128991.1
Coldwell,50.653185,-97.965012,909616804
Cornwallis,49.79145,-99.837458,504795149.4
Dauphin,51.148403,-100.047842,12284208.01
Deloraine-Winchester,49.177715,-100.432818,776996627
De Salaberry,49.385218,-97.022724,671553523.7
Dufferin,49.535916,-98.058145,918686007.1
East St. Paul,49.981036,-97.015212,43156339.2
Ellice-Archie,50.328862,-101.32903,1159908126
Elton,49.975535,-99.866031,577321760.3
Emerson-Franklin,49.136862,-97.018887,1006400662
Ethelbert,51.536548,-100.492774,1139097139
Fisher,51.071025,-97.657871,1497540573
Gilbert Plains,51.154772,-100.438507,1054666698
Gimli,50.660923,-97.046539,319104646.9
Glenboro-South Cypress,49.660375,-99.379878,1111341691
Glenella-Lansdowne,50.415944,-99.209932,1275803096
Grahamdale,51.363957,-98.400709,2413422498
Grandview,51.154779,-100.789787,1206115349
Grassland,49.444223,-100.376061,1357817067
Grey,49.709464,-98.073935,969667718.4
Hamiota,50.196399,-100.630547,580025663.2
Hanover,49.473671,-96.800014,742454255.3
Harrison Park,50.551567,-100.158409,1121765598
Headingley,49.867767,-97.391052,109346103
Hillsburg-Roblin-Shell River,51.333636,-101.291279,1789124131
Killarney-Turtle Mountain,49.14493,-99.680339,943578801.6
La Broquerie,49.399336,-96.51041,580714133.7
Lac du Bonnet,50.257635,-96.121814,1198165342
Lakeshore,51.22256,-99.640943,1319045648
Lorne,49.443682,-98.748781,972725808.8
Louise,49.153881,-98.872869,974507399.6
Macdonald,49.66797,-97.462527,1159810968
McCreary,50.755818,-99.43095,530436113.9
Minitonas-Bowsman,52.143549,-100.97836,1204303640
Minto-Odanah,50.240304,-99.805875,758398643
Montcalm,49.188575,-97.324739,471715285.1
Morris,49.351507,-97.370064,6153467.903
Mossey River,51.612086,-100.022609,1136379487
Mountain,52.152281,-100.6505,2627374336
Norfolk Treherne,49.668909,-98.590579,745045438.7
North Cypress-Langford,49.996612,-99.398259,1771294982
North Norfolk,49.930887,-98.831949,1163335679
Oakland-Wawanesa,49.621011,-99.848475,580471974.5
Oakview,50.19634,-100.217183,1161172506
Pembina,49.174551,-98.500909,1143491802
Pinawa,50.169155,-95.954121,136956421.4
Piney,49.190711,-95.907835,2462329988
Pipestone,49.665322,-101.145104,1162203696
Portage La Prairie,49.969663,-98.288946,26375268.63
Prairie Lakes,49.40329,-99.629966,1097388683
Prairie View,50.328881,-100.98379,1741531174
Reynolds,49.703627,-95.96217,3580530223
Rhineland,49.124751,-97.63579,960687447.1
Riding Mountain West,50.903863,-101.195461,1743903963
Ritchot,49.653735,-97.092253,338191560.9
Riverdale,49.975044,-100.279093,582113197.4
Rockwood,50.285878,-97.287124,1202807328
Roland,49.354799,-97.900193,485124020.4
Rosedale,50.440237,-99.541006,867749283.8
Rossburn,50.716012,-100.758569,776537875.6
Rosser,50.0054,-97.411568,442253000.1
Russell-Binscarth,50.726872,-101.369321,581602045.3
Sifton,49.665358,-100.667686,872008322.7
Souris-Glenwood,49.621061,-100.258088,581579869.3
Springfield,49.905262,-96.697192,1080193901
St. Andrews,50.274048,-96.997213,810368994.6
Stanley,49.131042,-98.069568,835307119.8
St. Clements,50.267428,-96.69363,835742697.8
Ste. Anne,49.668148,-96.648466,3949145.514
Ste. Rose,50.999988,-99.450182,634438219.7
St. Franois Xavier,49.98637,-97.664388,208344267.1
St. Laurent,50.430027,-97.793858,539538431
Stuartburn,49.133494,-96.514736,1167081738
Swan Valley West,52.030631,-101.407025,1731612184
Tache,49.730304,-96.724747,582517633.2
Thompson,55.757277,-97.844695,18897416.02
Two Borders,49.266243,-101.112127,2328428565
Victoria,49.661157,-98.93101,710513905.3
Victoria Beach,50.731744,-96.540228,20890583.53
Wallace-Woodworth,49.931571,-100.957839,2025103083
West Interlake,50.983622,-98.357566,1785603160
Westlake-Gladstone,50.28571,-98.842114,1933854637
West St. Paul,50.017341,-97.115637,88691084.51
Whitehead,49.797992,-100.257914,581598604.8
Whitemouth,49.955201,-95.956607,682197992.5
Winnipeg,49.863657,-97.157316,475215880.2
Woodlands,50.212442,-97.71621,1241186661
Yellowhead,50.461584,-100.507911,1161091338
