DateTime,StnID,Temp,RH,Rain,AvgWs,AvgWD
2015-06-01 0:00,212,12.6,56,0,0,56
2015-06-01 0:15,212,12.2,59,0,0,59
2015-06-01 0:30,212,11.7,63,0,0,63
2015-06-01 0:45,212,11.5,66,0,0,66
2015-06-01 1:00,212,11.2,70,0,0,70
2015-06-01 1:15,212,11.1,72,0,0,72
2015-06-01 1:30,212,11.2,73,0,0,73
2015-06-01 1:45,212,11.2,74,0,0,74
2015-06-01 2:00,212,11,75,0,0,75
2015-06-01 2:15,212,10.9,75,0,0,75
2015-06-01 2:30,212,10.9,75,0,0,75
2015-06-01 2:45,212,10.7,76,0,0,76
2015-06-01 3:00,212,10.4,76,0,0,76
2015-06-01 3:15,212,10.2,77,0,0,77
2015-06-01 3:30,212,9.8,79,0,0,79
2015-06-01 3:45,212,9.6,79,0,0,79
2015-06-01 4:00,212,9.5,80,0,0,80
2015-06-01 4:15,212,9.3,81,0,0,81
2015-06-01 4:30,212,9.2,81,0,0,81
2015-06-01 4:45,212,9.2,81,0,0,81
2015-06-01 5:00,212,9.2,80,0,0,80
2015-06-01 5:15,212,9.2,80,0,0,80
2015-06-01 5:30,212,9.1,80,0,0,80
2015-06-01 5:45,212,9.1,79,0,0,79
2015-06-01 6:00,212,9,79,0,0,79
2015-06-01 6:15,212,9.2,78,0,0,78
2015-06-01 6:30,212,9.3,78,0,0,78
2015-06-01 6:45,212,9.5,77,0,0,77
2015-06-01 7:00,212,9.7,76,0,0,76
2015-06-01 7:15,212,10.1,75,0,0,75
2015-06-01 7:30,212,10.7,73,0,0,73
2015-06-01 7:45,212,11.3,71,0,0,71
2015-06-01 8:00,212,11.8,70,0,0,70
2015-06-01 8:15,212,12.4,68,0,0,68
2015-06-01 8:30,212,13,67,0,0,67
2015-06-01 8:45,212,13.5,65,0,0,65
2015-06-01 9:00,212,14.3,62,0,0,62
2015-06-01 9:15,212,14.7,61,0,0,61
2015-06-01 9:30,212,15.3,59,0,0,59
2015-06-01 9:45,212,16.1,58,0,0,58
2015-06-01 10:00,212,17,56,0,0,56
2015-06-01 10:15,212,17,56,0,0,56
2015-06-01 10:30,212,17.2,55,0,0,55
2015-06-01 10:45,212,18.3,53,0,0,53
2015-06-01 11:00,212,19.4,50,0,0,50
2015-06-01 11:15,212,19.4,51,0,0,51
2015-06-01 11:30,212,19.1,52,0,0,52
2015-06-01 11:45,212,19.7,50,0,0,50
2015-06-01 12:00,212,19.4,51,0,0,51
2015-06-01 12:15,212,19,54,0,0,54
2015-06-01 12:30,212,18.9,57,0,0,57
2015-06-01 12:45,212,19.5,55,0,0,55
2015-06-01 13:00,212,19.7,54,0,0,54
2015-06-01 13:15,212,19.7,55,0,0,55
2015-06-01 13:30,212,19.2,62,0,0,62
2015-06-01 13:45,212,19.6,61,0,0,61
2015-06-01 14:00,212,20,57,0,0,57
2015-06-01 14:15,212,19.6,58,0,0.8,58
2015-06-01 14:30,212,17.8,77,0,0.6,77
2015-06-01 14:45,212,17.4,79,0,0.8,79
2015-06-01 15:00,212,17.4,80,0,1,80
2015-06-01 15:15,212,16.3,89,0,3.2,89
2015-06-01 15:30,212,16.2,88,0,4,88
2015-06-01 15:45,212,16.5,84,0,1,84
2015-06-01 16:00,212,15.7,88,0,1,88
2015-06-01 16:15,212,14.9,95,0,0.2,95
2015-06-01 16:30,212,15.4,93,1.8,0,93
2015-06-01 16:45,212,15.5,90,0.8,0,90
2015-06-01 17:00,212,15.7,90,1.8,0,90
2015-06-01 17:15,212,16.1,89,0.2,0,89
2015-06-01 17:30,212,16.1,90,0,0,90
2015-06-01 17:45,212,16.4,90,0,0,90
2015-06-01 18:00,212,17.4,87,2,0,87
2015-06-01 18:15,212,17.8,84,5.2,0,84
2015-06-01 18:30,212,18.6,82,0.8,0,82
2015-06-01 18:45,212,19.2,79,1,0,79
2015-06-01 19:00,212,19.5,76,0,0,76
2015-06-01 19:15,212,18.9,78,0,0,78
2015-06-01 19:30,212,19.6,76,0,0,76
2015-06-01 19:45,212,19.7,73,0,0,73
2015-06-01 20:00,212,19.3,74,0,0,74
2015-06-01 20:15,212,19.2,74,0,0,74
2015-06-01 20:30,212,18.8,75,0,0,75
2015-06-01 20:45,212,18.4,77,0,0,77
2015-06-01 21:00,212,17.9,80,0,0,80
2015-06-01 21:15,212,17.2,84,0,0,84
2015-06-01 21:30,212,16.7,85,0,0,85
2015-06-01 21:45,212,16.1,87,0,0,87
2015-06-01 22:00,212,15.8,88,0,0,88
2015-06-01 22:15,212,15.4,89,0,0,89
2015-06-01 22:30,212,15,91,0,0,91
2015-06-01 22:45,212,14.3,93,0,0,93
2015-06-01 23:00,212,13.9,94,0,0,94
2015-06-01 23:15,212,12.9,95,0,0,95
2015-06-01 23:30,212,12.5,96,0,0,96
2015-06-01 23:45,212,12,97,0,0,97
2015-06-02 0:00,212,11.9,98,0,0,98
2015-06-02 0:15,212,12.2,98,0,0,98
2015-06-02 0:30,212,12.6,98,0,0,98
2015-06-02 0:45,212,12.6,98,0,0,98
2015-06-02 1:00,212,12.7,98,0,0,98
2015-06-02 1:15,212,12.2,98,0,0,98
2015-06-02 1:30,212,11.7,98,0,0,98
2015-06-02 1:45,212,11.1,98,0,0,98
2015-06-02 2:00,212,11.3,98,0,0,98
2015-06-02 2:15,212,11.7,99,0,0,99
2015-06-02 2:30,212,11.6,98,0,0,98
2015-06-02 2:45,212,10.5,98,0,0,98
2015-06-02 3:00,212,10.1,98,0,0,98
2015-06-02 3:15,212,10.6,99,0,0,99
2015-06-02 3:30,212,10.3,99,0,0,99
2015-06-02 3:45,212,9.4,99,0,0,99
2015-06-02 4:00,212,9.4,99,0,0,99
2015-06-02 4:15,212,9.1,99,0,0,99
2015-06-02 4:30,212,9,99,0,0,99
2015-06-02 4:45,212,8.7,99,0,0,99
2015-06-02 5:00,212,8.5,99,0,0,99
2015-06-02 5:15,212,9.7,99,0,0,99
2015-06-02 5:30,212,10.4,99,0,0,99
2015-06-02 5:45,212,11.2,98,0,0,98
2015-06-02 6:00,212,11.7,95,0,0,95
2015-06-02 6:15,212,11.8,91,0,0,91
2015-06-02 6:30,212,11.6,91,0,0,91
2015-06-02 6:45,212,11.6,91,0,0,91
2015-06-02 7:00,212,11.5,91,0,0,91
2015-06-02 7:15,212,11.6,90,0,0,90
2015-06-02 7:30,212,12.8,82,0,0,82
2015-06-02 7:45,212,13.6,80,0,0,80
2015-06-02 8:00,212,13.8,78,0,0,78
2015-06-02 8:15,212,13.9,77,0,0,77
2015-06-02 8:30,212,13.9,76,0.2,0,76
2015-06-02 8:45,212,14,76,0,0,76
2015-06-02 9:00,212,14.1,76,0,0,76
2015-06-02 9:15,212,14.3,75,0,0,75
2015-06-02 9:30,212,14.4,74,0,0,74
2015-06-02 9:45,212,14.5,72,0,0,72
2015-06-02 10:00,212,14.9,72,0,0,72
2015-06-02 10:15,212,15.6,69,0,0,69
2015-06-02 10:30,212,15.4,69,0,0,69
2015-06-02 10:45,212,16,67,0,0,67
2015-06-02 11:00,212,16.1,67,0,0,67
2015-06-02 11:15,212,16,68,0,0,68
2015-06-02 11:30,212,15.8,68,0,0,68
2015-06-02 11:45,212,16.7,66,0,0,66
2015-06-02 12:00,212,17.7,62,0,0,62
2015-06-02 12:15,212,17.5,58,0,0,58
2015-06-02 12:30,212,17.6,57,0,0,57
2015-06-02 12:45,212,17.6,58,0,0,58
2015-06-02 13:00,212,18.3,55,0,0,55
2015-06-02 13:15,212,18.3,54,0,0,54
2015-06-02 13:30,212,18,54,0,0,54
2015-06-02 13:45,212,18.1,54,0,0,54
2015-06-02 14:00,212,18.4,53,0,0,53
2015-06-02 14:15,212,18.5,53,0,0,53
2015-06-02 14:30,212,18.8,54,0,0,54
2015-06-02 14:45,212,18.7,51,0,0,51
2015-06-02 15:00,212,18.6,50,0,0,50
2015-06-02 15:15,212,18.4,51,0,0,51
2015-06-02 15:30,212,18.3,50,0,0,50
2015-06-02 15:45,212,18.3,49,0.2,0,49
2015-06-02 16:00,212,18.4,49,0.2,0,49
2015-06-02 16:15,212,18.1,50,0.2,0,50
2015-06-02 16:30,212,17.7,50,0.4,0,50
2015-06-02 16:45,212,17.6,51,0.6,0,51
2015-06-02 17:00,212,17.5,52,0.2,0,52
2015-06-02 17:15,212,17.4,51,0.2,0,51
2015-06-02 17:30,212,17.1,51,0,0,51
2015-06-02 17:45,212,16.9,53,0,0,53
2015-06-02 18:00,212,16.4,54,0,0,54
2015-06-02 18:15,212,16.1,48,0,0,48
2015-06-02 18:30,212,16,48,0,0,48
2015-06-02 18:45,212,15.9,48,0,0,48
2015-06-02 19:00,212,15.8,48,0,0,48
2015-06-02 19:15,212,15.6,49,0,0,49
2015-06-02 19:30,212,15.2,52,0,0,52
2015-06-02 19:45,212,15.1,53,0,0,53
2015-06-02 20:00,212,15,53,0,0,53
2015-06-02 20:15,212,15.1,49,0,0,49
2015-06-02 20:30,212,14.9,48,0,0,48
2015-06-02 20:45,212,14.7,50,0,0,50
2015-06-02 21:00,212,14.5,54,0,0,54
2015-06-02 21:15,212,14.3,55,0,0,55
2015-06-02 21:30,212,14.1,55,0,0,55
2015-06-02 21:45,212,14,54,0,0,54
2015-06-02 22:00,212,14,54,0,0,54
