StationID,StationName,Date,Tmax,Tmin,Precip
CYQD,THE PAS,2019-05-01,3.3,-2,0
CYQD,THE PAS,2019-05-02,13.1,-1.7,0.3
CYQD,THE PAS,2019-05-03,4.9,-0.8,6.5
CYQD,THE PAS,2019-05-04,2.7,-1.5,6.5
CYQD,THE PAS,2019-05-05,2.7,-2.5,0.5
CYQD,THE PAS,2019-05-06,7.6,-4.3,0
CYQD,THE PAS,2019-05-07,6.8,-0.6,2.7
CYQD,THE PAS,2019-05-08,9.2,-2,0
CYQD,THE PAS,2019-05-09,13.4,-3.4,0
CYQD,THE PAS,2019-05-10,15.8,1.8,0
CYQD,THE PAS,2019-05-11,16.9,-2.7,0
CYQD,THE PAS,2019-05-12,20.2,1.5,0
CYQD,THE PAS,2019-05-13,19.2,1.3,0
CYQD,THE PAS,2019-05-14,14,-2.4,0
CYQD,THE PAS,2019-05-15,8.8,0.3,10.5
CYQD,THE PAS,2019-05-16,11,-0.9,0
CYQD,THE PAS,2019-05-17,10.1,-2.3,0
CYQD,THE PAS,2019-05-18,13.7,-3.2,0
CYQD,THE PAS,2019-05-19,15.5,-1.5,0
CYQD,THE PAS,2019-05-20,18.5,-0.3,0
CYQD,THE PAS,2019-05-21,21.7,6.3,0
CYQD,THE PAS,2019-05-22,19.8,3.5,0
CYQD,THE PAS,2019-05-23,15.8,1.9,0
CYQD,THE PAS,2019-05-24,19.3,5.6,0.3
CYQD,THE PAS,2019-05-25,11.8,2.9,2.6
CYQD,THE PAS,2019-05-26,15.2,1.6,0
CYQD,THE PAS,2019-05-27,22.7,6.6,0
CYQD,THE PAS,2019-05-28,21,3.4,0
CYQD,THE PAS,2019-05-29,15,6,0
CYQD,THE PAS,2019-05-30,12.9,5.1,0
CYQD,THE PAS,2019-05-31,15.7,0.9,0.3
CYQD,THE PAS,2019-06-01,14.1,-1.2,0
CYQD,THE PAS,2019-06-02,8.6,5.1,7.8
CYQD,THE PAS,2019-06-03,17.7,7.1,0.2
CYQD,THE PAS,2019-06-04,21.3,8.1,12.8
CYQD,THE PAS,2019-06-05,20.2,7.7,0.7
CYQD,THE PAS,2019-06-06,17.8,5.4,11.6
CYQD,THE PAS,2019-06-07,24.2,11.2,2.4
CYQD,THE PAS,2019-06-08,16.5,9.2,0.0
CYQD,THE PAS,2019-06-09,14.5,5.6,0.0
CYQD,THE PAS,2019-06-10,18.6,3.5,1.0
CYQD,THE PAS,2019-06-11,16.2,2.8,0.0
CYQD,THE PAS,2019-06-12,23.0,5.9,0.0
CYQD,THE PAS,2019-06-13,19.9,9.2,0.7
