Station Name (b'unitless'),TC ID (b'unitless'),Max Temperature (b'Celsius'),Min Temperature (b'Celsius'),Rain Amount (b'mm'),Snow Amount (b'cm'),Total Precipitation (b'mm'),record_high_temperature (b'Celsius'),record_low_temperature (b'Celsius'),record_snow_amount (b'cm'),wind_direction (b'code'),latitude (b'degree'),longitude (b'degree'),wind_gust_speed (b'km/h'),record_rain_amount (b'mm'),province (b'unitless'),creation_date_utc (b'unitless'),observation_date_utc (b'unitless'),license (b'unitless'),language (b'unitless'),hot_spot_location_canada (b'unitless'),cold_spot_location_canada (b'unitless'),hot_spot_location_province (b'unitless'),cold_spot_location_province (b'unitless'),observation_date_local_time (b'unitless'),climate_station_number (b'unitless'),wmo_station_number (b'unitless')
,,,,,,,,,,,,,,,MB,2023-01-16T13:14:00.000Z,2023-01-16T13:10:00.000Z,http://dd.weatheroffice.ec.gc.ca/doc/LICENCE_GENERAL.txt,EN,St. John's Int'l Airport,Shepherd Bay Airport,Great Falls,Churchill Airport,,,
Berens River,WCF,-3.8,-9.1,,,1.8,-2.0,-34.9,1.3,,52.359737,-97.021953,,0.0,,,2023-01-16T13:10:00.000Z,,,,,,,2023-01-16T07:10:00.000 CST,5030203,71158
Brandon,PBO,-4.3,-9.9,,,0,5.5,-31.2,1.0,,49.9,-99.95,,0.0,,,2023-01-16T13:10:00.000Z,,,,,,,2023-01-16T07:10:00.000 CST,5010490,71136
Brandon Airport,YBR,-4.3,-10.0,0.0,0.0,0,4.4,-38.3,11.8,,49.91,-99.952222,,2.0,,,2023-01-16T13:10:00.000Z,,,,,,,2023-01-16T07:10:00.000 CST,5010481,71140
Carberry,WZE,-4.0,-9.6,,,0.0,5.4,-35.2,8.5,,49.905806,-99.357444,,0.0,,,2023-01-16T13:10:00.000Z,,,,,,,2023-01-16T07:10:00.000 CST,5010547,71170
Carman,WNK,-2.4,-7.7,,,0.0,6.0,-36.2,3.8,,49.498111,-98.02975,,0.0,,,2023-01-16T13:10:00.000Z,,,,,,,2023-01-16T07:10:00.000 CST,502I001,71147
Churchill,PYQ,-15.1,-23.3,,,0,-8.5,-40.4,2.0,,58.733333,-94.066667,,0.0,,,2023-01-16T13:10:00.000Z,,,,,,,2023-01-16T07:10:00.000 CST,5060608,71696
Churchill Airport,YYQ,-15.2,-23.5,,,0.0,-8.6,-34.8,,SE,58.739167,-94.066389,31,,,,2023-01-16T13:10:00.000Z,,,,,,,2023-01-16T07:10:00.000 CST,5060605,71618
Cross Lake Jenpeg,PJP,-12.5,-13.8,,,,-5.8,-32.9,,,54.539722,-98.030278,,,,,2023-01-16T13:10:00.000Z,,,,,,,2023-01-16T07:10:00.000 CST,5060622,71106
Cypress River,POY,-4.3,-9.8,,,0.0,5.8,-30.3,1.0,,49.562222,-99.073889,,0.0,,,2023-01-16T13:10:00.000Z,,,,,,,2023-01-16T07:10:00.000 CST,5010641,71239
